Date,Load,Temperature
2020-01-01,1408.8202617298384,25.166666666666668
2020-01-02,1402.7542106993703,25.333333333333332
2020-01-03,1406.400539235597,25.5
2020-01-04,1413.46473996861,25.666666666666668
2020-01-05,1412.3514885808868,25.833333333333332
2020-01-06,1398.8807338882891,26.0
2020-01-07,1409.2709900328334,26.166666666666668
2020-01-08,1404.5171865612513,26.333333333333332
2020-01-09,1405.5113030013063,26.5
2020-01-10,1408.8338144275,26.666666666666668
2020-01-11,1408.2544644311467,26.833333333333332
2020-01-12,1415.5590387676914,27.0
2020-01-13,1412.846284516146,27.166666666666668
2020-01-14,1410.4028956304094,27.333333333333332
2020-01-15,1412.7672613692066,27.5
2020-01-16,1412.969741499885,27.666666666666668
2020-01-17,1419.5251898863362,27.833333333333332
2020-01-18,1411.7824278592532,28.0
2020-01-19,1415.1269823438708,28.166666666666668
2020-01-20,1410.044589796642,28.333333333333332
2020-01-21,1402.3035440715144,28.5
2020-01-22,1419.090010785421,28.666666666666668
2020-01-23,1420.897523460051,28.833333333333332
2020-01-24,1413.6179420212554,29.0
2020-01-25,1429.4309649007598,29.166666666666668
2020-01-26,1411.5637880653621,29.333333333333336
2020-01-27,1419.8178336823978,29.5
2020-01-28,1419.4065465032954,29.666666666666668
2020-01-29,1428.7597864827512,29.833333333333332
2020-01-30,1429.1961089179945,30.0
2020-01-31,1423.377476854512,30.166666666666668
2020-02-01,1425.2469769815725,30.333333333333332
2020-02-02,1419.6706603029454,30.5
2020-02-03,1414.9590313575104,30.666666666666664
2020-02-04,1423.8768776095335,30.833333333333336
2020-02-05,1427.1516078592185,31.0
2020-02-06,1433.2747410748716,31.166666666666668
2020-02-07,1433.8886115726891,31.333333333333332
2020-02-08,1426.6935028992616,31.5
2020-02-09,1427.872047890959,31.666666666666664
2020-02-10,1424.8942214760345,31.833333333333336
2020-02-11,1423.7903212730093,32.0
2020-02-12,1423.1124846633134,32.166666666666664
2020-02-13,1442.1511372501313,32.333333333333336
2020-02-14,1430.6024240227487,32.5
2020-02-15,1431.7137380809852,32.666666666666664
2020-02-16,1428.3935574463258,32.833333333333336
2020-02-17,1439.2984106832691,33.0
2020-02-18,1428.094894323854,33.166666666666664
2020-02-19,1435.8541068181082,33.333333333333336
2020-02-20,1433.193900070744,33.5
2020-02-21,1440.359170023543,33.66666666666667
2020-02-22,1436.6240565039363,33.83333333333333
2020-02-23,1434.0283459287032,34.0
2020-02-24,1440.544020365156,34.166666666666664
2020-02-25,1443.5800155170357,34.333333333333336
2020-02-26,1442.5243669338336,34.5
2020-02-27,1444.4575649681508,34.666666666666664
2020-02-28,1440.5270196685815,34.83333333333333
2020-02-29,1442.6383489645848,35.0
2020-03-01,1441.843177213175,35.166666666666664
2020-03-02,1444.1611383018862,35.333333333333336
2020-03-03,1442.646597356901,35.5
2020-03-04,1438.8343404129992,35.666666666666664
2020-03-05,1449.1063087934606,35.83333333333333
2020-03-06,1446.9636980586847,36.0
2020-03-07,1441.5750356624299,36.16666666666667
2020-03-08,1452.7933633324235,36.33333333333333
2020-03-09,1446.6963848904127,36.5
2020-03-10,1452.2460283488438,36.66666666666667
2020-03-11,1456.385178838285,36.833333333333336
2020-03-12,1454.1380652387186,37.0
2020-03-13,1459.9435787651823,37.166666666666664
2020-03-14,1448.8258708982316,37.333333333333336
2020-03-15,1457.765132863422,37.5
